"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Period1Vio,Period1NonVio,Period1VForOp,Period1Senior,Period1Gun,Period1IED_C,Period1IED_P,Period1ForOp,Period1Rob
ZF385,0,0,99999,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF389,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF396,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF40,0,0,99999,22,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF406,0,0,99999,22,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF407,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF41,1,0,0,15,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF410,0,0,99999,21,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF414,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF415,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF420,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF421,0,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF426,0,0,0,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF430,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF432,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF434,0,0,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF435,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF438,0,0,0,17,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF439,0,0,0,99999,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF444,0,0,0,19,0,0,1,0,0,1,0,0,0,0,0,1,1,0
ZF445,0,1,0,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF447,0,0,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF453,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF454,0,0,0,23,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF455,0,0,99999,25,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF457,0,0,0,29,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF459,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF461,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF464,0,1,1,23,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF466,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF467,0,0,0,23,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF469,0,0,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF478,0,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ZF479,0,0,1,99999,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF481,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF483,0,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF487,0,0,99999,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF488,0,0,1,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF493,0,0,99999,26,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF502,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF507,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF517,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF524,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF525,0,0,99999,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF527,0,0,99999,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF528,0,0,99999,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ZF529,0,0,1,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF530,0,0,99999,24,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF533,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF534,0,0,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF535,0,0,99999,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF539,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF541,0,0,99999,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF542,0,0,99999,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF548,0,0,0,19,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF564,0,0,1,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF568,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF582,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF587,0,0,1,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF588,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF591,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF592,0,0,1,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF594,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF604,0,0,99999,39,0,0,0,0,1,1,0,1,0,0,0,1,1,0
ZF614,0,0,99999,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF615,0,0,99999,28,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ZF616,0,0,99999,18,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF617,0,0,1,13,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF620,0,0,99999,19,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,1
ZF627,0,0,99999,18,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF628,0,0,99999,17,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF629,0,0,1,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF633,0,0,0,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF635,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF637,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF639,0,0,0,19,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ZF641,0,0,99999,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF642,0,0,99999,20,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ZF643,0,0,99999,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF644,0,0,1,36,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF645,0,0,99999,37,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF647,0,0,0,19,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF648,0,0,99999,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF649,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF651,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF653,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF659,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF660,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF665,0,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF666,0,0,0,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF670,0,0,0,22,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF672,0,0,99999,18,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF673,0,0,99999,41,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF680,0,0,99999,30,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF688,1,0,0,19,1,0,0,0,0,1,1,0,0,0,0,1,0,0
ZF690,0,0,99999,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF70,0,0,1,30,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ZF701,0,0,99999,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF704,1,0,99999,18,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF706,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF71,0,0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF713,0,0,1,26,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF721,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF724,0,0,1,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF73,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF730,0,0,0,23,0,0,0,1,0,1,0,0,0,0,1,0,0,0
ZF733,0,0,99999,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF734,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF740,0,0,1,27,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF751,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF752,0,0,99999,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF754,0,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF755,0,0,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF763,0,0,99999,99999,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF764,1,0,99999,18,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF769,0,0,99999,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF770,0,0,1,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF773,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF779,0,0,99999,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF781,0,0,99999,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF788,0,0,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF790,0,0,99999,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF791,0,0,99999,23,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF798,0,0,99999,19,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF80,0,0,0,24,1,0,0,0,0,1,0,0,1,1,0,0,0,0
ZF801,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF806,0,0,99999,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF810,0,0,1,27,1,0,0,0,0,1,0,0,1,0,1,0,0,0
ZF821,0,0,0,16,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF822,0,0,99999,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZF826,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF832,0,0,1,26,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF837,0,0,99999,20,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF839,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF842,0,0,0,23,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF845,0,0,0,27,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF852,0,0,99999,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF859,0,0,0,18,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF863,0,0,99999,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF864,0,0,0,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF866,0,0,99999,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF870,0,0,1,22,1,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF872,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF873,0,0,99999,17,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF879,0,0,99999,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF881,0,0,99999,36,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ZF884,0,0,99999,18,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF889,0,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF893,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF894,0,0,0,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF896,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF903,0,0,99999,19,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF922,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF923,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF924,0,0,1,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZF925,0,0,99999,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF935,0,0,99999,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF936,0,0,99999,17,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF937,0,0,99999,42,0,0,0,1,0,0,1,0,0,0,0,0,0,0
ZF952,0,0,1,29,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF958,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF964,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF966,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF97,0,0,99999,26,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF976,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF979,0,0,1,20,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF981,0,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF982,0,0,0,19,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF983,0,0,99999,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF997,0,0,99999,26,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZFM215,0,0,99999,20,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZFM222,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFM264,0,0,1,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ZFM53,0,0,99999,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
